# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   75       2.630156294591e-10       5.230849052505e-14      -1.060799449566e-12       0.000000000000e+00       2.229907704795e-11       2.799174050619e-12      -9.429216865788e-15 
   76       2.663458709744e-10       5.418485796382e-14      -1.127662181156e-12       0.000000000000e+00       2.159471002537e-11       2.722042659239e-12      -9.564915015625e-15 
   77       2.697053035723e-10       5.608579835703e-14      -1.195973017092e-12       0.000000000000e+00       2.091716069379e-11       2.648058152906e-12      -9.738088360933e-15 
   78       2.730949015202e-10       5.800945202877e-14      -1.265678626309e-12       0.000000000000e+00       2.026643758180e-11       2.577183363994e-12      -9.939417700208e-15 
   79       2.765153425022e-10       5.995383255159e-14      -1.336721871862e-12       0.000000000000e+00       1.964216304344e-11       2.509332416548e-12      -1.015839887743e-14 
   80       2.799669899647e-10       6.191682394439e-14      -1.409041750826e-12       0.000000000000e+00       1.904355551379e-11       2.444368542933e-12      -1.038330273804e-14 
   81       2.834498754626e-10       6.389617787035e-14      -1.482573334201e-12       0.000000000000e+00       1.846941176446e-11       2.382101900483e-12      -1.060113508489e-14 
   82       2.869636810047e-10       6.588951083478e-14      -1.557247706811e-12       0.000000000000e+00       1.791808915917e-11       2.322287388147e-12      -1.079759663423e-14 
   83       2.905077214002e-10       6.789430138305e-14      -1.632991907211e-12       0.000000000000e+00       1.738748790930e-11       2.264622463139e-12      -1.095704297167e-14 
   84       2.940813119046e-10       6.990813929939e-14      -1.709737265527e-12       0.000000000000e+00       1.687556143945e-11       2.208818460277e-12      -1.106573110382e-14 
   85       2.976849798589e-10       7.192952680776e-14      -1.787446136782e-12       0.000000000000e+00       1.638198356541e-11       2.154832917214e-12      -1.112226521958e-14 
   86       3.013194224804e-10       7.395720567315e-14      -1.866089509813e-12       0.000000000000e+00       1.590672645047e-11       2.102671939813e-12      -1.112881724751e-14 
   87       3.049851284079e-10       7.598991842216e-14      -1.945639083213e-12       0.000000000000e+00       1.544954833102e-11       2.052319189809e-12      -1.108800919574e-14 
