# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  121       4.460732943301e-10       1.366702575644e-13      -4.785563237386e-12       6.306594753214e-16       6.486532267551e-12       1.021620797954e-12      -6.102572623998e-15 
  122       4.505547994466e-10       1.378084108039e-13      -4.858247365720e-12       6.415343154418e-16       6.341562745816e-12       1.003557544044e-12      -6.028376233629e-15 
  123       4.550463394835e-10       1.388916141498e-13      -4.929463088480e-12       6.525214398659e-16       6.200949140877e-12       9.859392661897e-13      -5.949775318254e-15 
  124       4.595467982138e-10       1.399186892218e-13      -4.999136745345e-12       6.636216363277e-16       6.064533914834e-12       9.687564585501e-13      -5.867763871324e-15 
  125       4.640549571736e-10       1.408884971937e-13      -5.067194589002e-12       6.748357032824e-16       5.932128148098e-12       9.519964752831e-13      -5.783403330609e-15 
  126       4.685694929188e-10       1.417999401618e-13      -5.133562813399e-12       6.861644499320e-16       5.803510726928e-12       9.356434448876e-13      -5.697823919081e-15 
  127       4.730889742817e-10       1.426519625140e-13      -5.198167582009e-12       6.976086962493e-16       5.678427530983e-12       9.196781845492e-13      -5.612225985795e-15 
  128       4.776118596273e-10       1.434435522987e-13      -5.260935056088e-12       7.091692730028e-16       5.556590620858e-12       9.040781144842e-13      -5.527881346778e-15 
  129       4.821366600311e-10       1.441737872540e-13      -5.321792781159e-12       7.208470364688e-16       5.437740126933e-12       8.888224848092e-13      -5.445888129582e-15 
  130       4.866624548801e-10       1.448419756963e-13      -5.380673958419e-12       7.326429143414e-16       5.321839317713e-12       8.739088863779e-13      -5.366402051995e-15 
  131       4.911884279125e-10       1.454475337464e-13      -5.437513697498e-12       7.445578649289e-16       5.208899494967e-12       8.593383977637e-13      -5.289322955104e-15 
  132       4.957137048259e-10       1.459899437259e-13      -5.492247737837e-12       7.565928630460e-16       5.098918850425e-12       8.451103879239e-13      -5.214533321566e-15 
